x_valueCar,y_valueCar,x_valueObject,y_valueObject
0,0,0,0
111.28,35.11,111.28,147.0
111.25,34.68,111.25,42.489999999999995
111.28,35.07,111.28,43.0
111.25,35.09,111.25,42.9
111.28,35.11,111.28,43.05
111.28,35.09,111.28,43.0
111.25,35.19,111.25,43.019999999999996
111.25,35.09,111.25,43.019999999999996
111.45,35.95,111.45,42.91
111.28,35.09,111.28,42.91
111.18,35.64,111.18,42.59
111.14,35.09,111.14,42.489999999999995
111.25,35.129999999999995,111.25,42.57
111.14,35.66,111.14,42.91
111.25,35.09,111.25,42.91
111.25,35.19,111.25,42.59
111.14,35.5,111.14,42.91
111.25,35.09,111.25,43.019999999999996
111.45,35.19,111.45,42.91
111.55,35.95,111.55,42.91
111.23,34.78,111.23,42.57
111.13,35.11,111.13,42.489999999999995
111.23,35.07,111.23,42.9
111.13,34.78,111.13,44.61
111.28,35.97,111.28,42.47
111.25,36.79,111.25,43.57
111.14,36.480000000000004,111.14,42.620000000000005
111.13,36.33,111.13,42.620000000000005
111.13,36.480000000000004,111.13,42.59
111.13,37.2,111.13,42.47
111.3,35.5,111.3,42.59
111.14,35.61,111.14,42.489999999999995
111.25,35.07,111.25,42.47
111.55,35.59,111.55,42.16
111.13,35.91,111.13,42.47
111.25,35.489999999999995,111.25,42.59
111.18,35.19,111.18,42.9
111.28,35.5,111.28,42.489999999999995
111.28,35.61,111.28,42.59
111.14,35.09,111.14,42.489999999999995
111.25,35.489999999999995,111.25,42.489999999999995
111.18,35.61,111.18,42.91
111.28,35.5,111.28,42.06
111.25,35.93,111.25,42.59
111.18,35.5,111.18,42.489999999999995
111.3,36.769999999999996,111.3,42.97
111.14,36.019999999999996,111.14,43.019999999999996
111.14,37.2,111.14,42.9
111.3,37.2,111.3,43.0
111.25,35.5,111.25,43.1
111.25,35.5,111.25,43.0
111.25,35.620000000000005,111.25,43.0
111.25,36.03,111.25,43.0
111.14,36.379999999999995,111.14,43.33
111.28,35.54,111.28,43.33
111.13,36.05,111.13,43.33
111.25,35.95,111.25,42.9
111.3,36.379999999999995,111.3,45.47
111.13,36.379999999999995,111.13,42.9
111.25,35.95,111.25,42.9
111.14,35.61,111.14,43.0
111.14,35.09,111.14,42.489999999999995
111.23,35.489999999999995,111.23,42.59
111.14,35.61,111.14,43.33
111.25,35.95,111.25,42.91
111.52,35.59,111.52,43.879999999999995
111.14,35.489999999999995,111.14,42.879999999999995
111.25,35.5,111.25,43.019999999999996
111.14,35.61,111.14,42.9
111.25,35.5,111.25,42.9
111.25,36.46,111.25,43.879999999999995
111.14,35.5,111.14,42.9
111.25,35.489999999999995,111.25,42.9
111.14,35.61,111.14,42.879999999999995
111.25,35.93,111.25,42.9
111.25,35.61,111.25,43.0
111.14,35.129999999999995,111.14,42.9
111.5,35.489999999999995,111.5,42.9
111.13,35.19,111.13,43.019999999999996
111.23,35.09,111.23,42.9
111.23,35.07,111.23,42.57
111.18,35.59,111.18,43.33
111.25,35.09,111.25,42.47
111.13,35.19,111.13,43.0
111.13,35.07,111.13,43.33
111.25,35.09,111.25,43.019999999999996
111.14,35.19,111.14,42.47
111.25,35.09,111.25,42.91
111.23,35.21,111.23,43.0
111.13,35.5,111.13,42.489999999999995
